40

pkt_rate: 4000, sent_num: 100, recv_num: 54
pkt_rate: 4000, sent_num: 100, recv_num: 35
pkt_rate: 4000, sent_num: 100, recv_num: 33
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 31
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 66
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 95
pkt_rate: 4000, sent_num: 100, recv_num: 42
pkt_rate: 4000, sent_num: 100, recv_num: 92
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 43
pkt_rate: 4000, sent_num: 100, recv_num: 90
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 36
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 58
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 40
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 53
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 71
pkt_rate: 4000, sent_num: 100, recv_num: 89
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 36
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 85
pkt_rate: 4000, sent_num: 100, recv_num: 38
pkt_rate: 4000, sent_num: 100, recv_num: 96
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 88
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 82
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 34
pkt_rate: 4000, sent_num: 100, recv_num: 66
pkt_rate: 4000, sent_num: 100, recv_num: 29
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 42
pkt_rate: 4000, sent_num: 100, recv_num: 74
pkt_rate: 4000, sent_num: 100, recv_num: 89
pkt_rate: 4000, sent_num: 100, recv_num: 31
pkt_rate: 4000, sent_num: 100, recv_num: 65
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 65
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 19
pkt_rate: 4000, sent_num: 100, recv_num: 56
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 95
pkt_rate: 4000, sent_num: 100, recv_num: 53
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 45
pkt_rate: 4000, sent_num: 100, recv_num: 43
pkt_rate: 4000, sent_num: 100, recv_num: 91
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 61
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 35
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 79
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 90
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 57
pkt_rate: 4000, sent_num: 100, recv_num: 37
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 37
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 82
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 70
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 62
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 63
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 79
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 33
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 38
pkt_rate: 4000, sent_num: 100, recv_num: 34
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 54
pkt_rate: 4000, sent_num: 100, recv_num: 100
